cod_persona;genero;client_type;edad;tx_incomes_frec;net_login_frec;office_visit_frec;weeks_a_nomina;nomina_time
1;M;OFICINA;0.413333333;0;0;0.142857143;2;1
2;V;OFICINA;0.32;0;0.193905817;0.051020408;6;1
3;V;OFICINA;0.28;0.09375;0.010387812;0.020408163;8;1
4;M;OFICINA;0.36;0;0;0.107142857;4;1
5;V;OFICINA;0.28;0.083333333;0;0.052154195;9;1
6;V;OFICINA;0.44;0;0.027700831;0.217687075;6;1
7;V;OFICINA;0.386666667;0;0.007554772;0.024118738;11;1
8;V;OFICINA;0.466666667;0;0.066481994;0.140816327;10;1
9;V;OFICINA;0.586666667;0;0;0.102040816;1;1
10;V;OFICINA;0.226666667;0;0;0.387755102;1;1
11;M;OFICINA;0.493333333;0;0.083102493;0.285714286;1;1
12;V;OFICINA;0.613333333;0;0.098212037;0.089053803;11;1
13;V;OFICINA;0.466666667;0;0;0.19047619;3;1
14;V;ONLINE;0.546666667;0;0;0.051020408;2;1
15;M;OFICINA;0.613333333;0.375;0.581717452;0.428571429;1;1
16;V;OFICINA;0.346666667;0;0.033240997;0.053061224;5;1
17;V;OFICINA;0.546666667;0;0.249307479;0.285714286;1;1
18;V;OFICINA;0.293333333;0.075;0.016620499;0.057142857;5;1
19;V;OFICINA;0.253333333;0.089285714;0.007914523;0.049562682;21;1
20;V;OFICINA;0.413333333;0;0.020775623;0.107142857;4;1
21;V;OFICINA;0.48;0;0.083102493;0.108843537;3;1
22;V;OFICINA;0.546666667;0.3;0.96398892;0.044897959;10;1
23;M;OFICINA;0.333333333;0;0;0.069817401;19;1
24;V;OFICINA;0.546666667;0;0.027700831;0.265306122;3;1
25;M;OFICINA;0.44;0.09375;0.145429363;0.076530612;4;1
26;V;OFICINA;0.493333333;0;0.484764543;0.017006803;6;1
27;V;ONLINE;0.226666667;0;0.083102493;0;1;1
28;M;OFICINA;0.346666667;0.09375;0.010387812;0.038265306;8;1
29;V;OFICINA;0.226666667;0.0234375;0;0.008928571;16;1
30;M;OFICINA;0.346666667;0.25;0.027700831;0.095238095;3;1
31;M;OFICINA;0.266666667;0;0;0.092970522;9;1
32;V;OFICINA;0.306666667;0.068181818;0.026441702;0.017625232;22;1
33;M;OFICINA;0.226666667;0;0;0.156462585;3;1
34;V;ONLINE;0.266666667;0.057692308;0.051139996;0;13;1
35;M;OFICINA;0.253333333;0;0;0.040816327;3;1
36;M;OFICINA;0.2;0;0.041551247;0.204081633;2;1
37;M;ONLINE;0.373333333;0.075;0.041551247;0.002040816;10;1
38;M;OFICINA;0.24;0.01875;0;0.023469388;20;1
39;M;ONLINE;0.413333333;0.25;0.027700831;0;9;1
40;M;ONLINE;0.2;0;0.013850416;0.023809524;6;1
41;V;OFICINA;0.56;0;0;0.078231293;6;1
42;M;OFICINA;0.4;0;0.00923361;0.012849584;27;1
43;V;OFICINA;0.08;0.041666667;0.129270545;0.024943311;9;1
44;V;OFICINA;0.293333333;0;0.055401662;0.176870748;6;1
45;V;OFICINA;0.306666667;0;0;0.065306122;5;1
46;M;OFICINA;0.4;0;0.002967946;0.010932945;28;1
47;V;OFICINA;0.533333333;0;0.166204986;0.285714286;1;1
48;M;OFICINA;0.066666667;0;0.055401662;0.149659864;3;1
49;V;OFICINA;0.293333333;0;0;0.073469388;5;1
50;V;OFICINA;0.44;0;0;0.224489796;2;1
51;V;ONLINE;0.213333333;0.053571429;0.557973882;0;7;1
52;V;OFICINA;0.32;0;0;0.020408163;11;1
53;V;OFICINA;0.293333333;0.09375;0;0.035714286;8;1
54;M;OFICINA;0.466666667;0.025;0;0.020408163;15;1
55;V;OFICINA;0.226666667;0;0.055401662;0.081632653;3;1
56;V;OFICINA;0.413333333;0;0.110803324;0.06122449;3;1
57;V;OFICINA;0.253333333;0;0;0.091836735;2;1
58;V;OFICINA;0.08;0;0.007554772;0.022263451;22;1
59;M;OFICINA;0.266666667;0;0.066481994;0.191836735;5;1
60;M;OFICINA;0.52;0;0.020775623;0.045918367;8;1
61;V;OFICINA;0.44;0;0.083102493;0.285714286;1;1
62;M;OFICINA;0.333333333;0;0;0.102040816;2;1
63;V;OFICINA;0.44;0;0;0.204081633;2;1
64;M;ONLINE;0.346666667;0;0;0;6;1
65;V;ONLINE;0.213333333;0.025;0.049861496;0;15;1
66;V;OFICINA;0.346666667;0;0;0.102040816;2;1
67;M;OFICINA;0.306666667;0;0;0.020408163;2;1
68;M;OFICINA;0.253333333;0;0.011871785;0.023323615;7;1
69;V;OFICINA;0.226666667;0.098684211;0.021869077;0.081632653;19;1
70;V;OFICINA;0.48;0.1875;0.12465374;0.102040816;2;1
71;V;OFICINA;0.4;0.034090909;0.052883405;0.044526902;11;1
72;M;OFICINA;0.266666667;0.1875;0;0.058673469;8;1
73;M;OFICINA;0.16;0;0.010839456;0.032830524;23;1
74;M;OFICINA;0.306666667;0;0;0.367346939;2;1
75;V;OFICINA;0.36;0;0;0.06122449;1;1
76;V;OFICINA;0.28;0;0;0.013605442;6;1
77;M;OFICINA;0.506666667;0;0;0.278911565;3;1
78;V;OFICINA;0.413333333;0;0.166204986;0.173469388;2;1
79;M;OFICINA;0.546666667;0;0.006392499;0.03610675;13;1
80;V;OFICINA;0.506666667;0;0.249307479;0.367346939;1;1
81;M;OFICINA;0.16;0;0.207756233;0.071428571;2;1
82;V;OFICINA;0.186666667;0.028846154;0.006392499;0.051805338;13;1
83;M;OFICINA;0.386666667;0;0.06232687;0.168367347;4;1
84;V;OFICINA;0.053333333;0.028846154;0.012784999;0.031397174;13;1
85;M;OFICINA;0.16;0;0.022664316;0.024118738;11;1
86;M;OFICINA;0.413333333;0;0;0.029684601;11;1
87;V;ONLINE;0.306666667;0;0;0;2;1
88;V;OFICINA;0.533333333;0.0625;0.096952909;0.238095238;6;1
89;M;OFICINA;0.133333333;0;0.005935892;0.020408163;14;1
90;V;OFICINA;0.48;0;0.0033241;0.009795918;25;1
91;V;OFICINA;0.04;0;0;0.033163265;8;1
92;M;OFICINA;0.306666667;0.09375;0.12465374;0.030612245;4;1
93;M;OFICINA;0.36;0.034090909;0.007554772;0.033395176;11;1
94;V;OFICINA;0.333333333;0.09375;0.004155125;0.05;20;1
95;V;OFICINA;0.266666667;0;0.249307479;0.479591837;2;1
96;M;OFICINA;0.36;0;0;1;1;1
97;V;OFICINA;0.28;0;0;0.367346939;1;1
98;V;OFICINA;0.24;0;0.035615354;0.055393586;7;1
